timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1725176644798,155,GetReqres,200,OK,Konfigurasi beban 1-1,text,true,,1927,159,4,4,https://reqres.in/api/users?page=2,155,0,125
1725176644847,107,GetReqres,200,OK,Konfigurasi beban 1-2,text,true,,1927,159,4,4,https://reqres.in/api/users?page=2,107,0,76
1725176644898,74,GetReqres,200,OK,Konfigurasi beban 1-3,text,true,,1937,159,4,4,https://reqres.in/api/users?page=2,74,0,46
1725176644947,115,GetReqres,200,OK,Konfigurasi beban 1-4,text,true,,1928,159,6,6,https://reqres.in/api/users?page=2,115,0,88
1725176644998,97,GetReqres,200,OK,Konfigurasi beban 1-5,text,true,,1933,159,6,6,https://reqres.in/api/users?page=2,97,0,72
1725176645048,84,GetReqres,200,OK,Konfigurasi beban 1-6,text,true,,1941,159,7,7,https://reqres.in/api/users?page=2,84,0,39
1725176645098,86,GetReqres,200,OK,Konfigurasi beban 1-7,text,true,,1933,159,8,8,https://reqres.in/api/users?page=2,85,0,57
1725176645148,66,GetReqres,200,OK,Konfigurasi beban 1-8,text,true,,1941,159,9,9,https://reqres.in/api/users?page=2,65,0,40
1725176644954,383,PostReqres,201,Created,Konfigurasi beban 1-2,text,true,,930,223,11,11,https://reqres.in/api/users,383,0,0
1725176644953,385,PostReqres,201,Created,Konfigurasi beban 1-1,text,true,,929,223,11,11,https://reqres.in/api/users,385,0,0
1725176645199,170,GetReqres,200,OK,Konfigurasi beban 1-9,text,true,,1941,159,12,12,https://reqres.in/api/users?page=2,170,0,140
1725176644972,398,PostReqres,201,Created,Konfigurasi beban 1-3,text,true,,929,223,12,12,https://reqres.in/api/users,398,0,0
1725176645249,139,GetReqres,200,OK,Konfigurasi beban 1-10,text,true,,1928,159,12,12,https://reqres.in/api/users?page=2,139,0,112
1725176645298,102,GetReqres,200,OK,Konfigurasi beban 1-11,text,true,,1937,159,13,13,https://reqres.in/api/users?page=2,102,0,61
1725176645348,69,GetReqres,200,OK,Konfigurasi beban 1-12,text,true,,1941,159,13,13,https://reqres.in/api/users?page=2,69,0,40
1725176645062,393,PostReqres,201,Created,Konfigurasi beban 1-4,text,true,,930,223,14,14,https://reqres.in/api/users,392,0,0
1725176645398,80,GetReqres,200,OK,Konfigurasi beban 1-13,text,true,,1941,159,14,14,https://reqres.in/api/users?page=2,80,0,46
1725176645096,392,PostReqres,201,Created,Konfigurasi beban 1-5,text,true,,930,223,14,14,https://reqres.in/api/users,392,0,0
1725176645448,68,GetReqres,200,OK,Konfigurasi beban 1-14,text,true,,1941,159,15,15,https://reqres.in/api/users?page=2,68,0,38
1725176645132,389,PostReqres,201,Created,Konfigurasi beban 1-6,text,true,,930,223,15,15,https://reqres.in/api/users,389,0,0
1725176645214,461,PostReqres,201,Created,Konfigurasi beban 1-8,text,true,,930,223,18,18,https://reqres.in/api/users,461,0,0
1725176645497,189,GetReqres,200,OK,Konfigurasi beban 1-15,text,true,,1933,159,18,18,https://reqres.in/api/users?page=2,189,0,166
1725176645184,529,PostReqres,201,Created,Konfigurasi beban 1-7,text,true,,930,223,19,19,https://reqres.in/api/users,529,0,0
1725176645597,122,GetReqres,200,OK,Konfigurasi beban 1-17,text,true,,1941,159,19,19,https://reqres.in/api/users?page=2,122,0,93
1725176645547,172,GetReqres,200,OK,Konfigurasi beban 1-16,text,true,,1941,159,19,19,https://reqres.in/api/users?page=2,172,0,143
1725176645337,391,DeleteReqres,204,No Content,Konfigurasi beban 1-2,,true,,800,176,19,19,https://reqres.in/api/users/2,0,0,0
1725176645647,83,GetReqres,200,OK,Konfigurasi beban 1-18,text,true,,1927,159,18,18,https://reqres.in/api/users?page=2,83,0,53
1725176645339,391,DeleteReqres,204,No Content,Konfigurasi beban 1-1,,true,,800,176,18,18,https://reqres.in/api/users/2,0,0,0
1725176645370,475,DeleteReqres,204,No Content,Konfigurasi beban 1-3,,true,,800,176,18,18,https://reqres.in/api/users/2,0,0,0
1725176645400,445,PostReqres,201,Created,Konfigurasi beban 1-11,text,true,,929,223,18,18,https://reqres.in/api/users,445,0,0
1725176645388,457,PostReqres,201,Created,Konfigurasi beban 1-10,text,true,,930,223,18,18,https://reqres.in/api/users,457,0,0
1725176645455,390,DeleteReqres,204,No Content,Konfigurasi beban 1-4,,true,,800,176,18,18,https://reqres.in/api/users/2,0,0,0
1725176645697,148,GetReqres,200,OK,Konfigurasi beban 1-19,text,true,,1927,159,18,18,https://reqres.in/api/users?page=2,148,0,41
1725176645418,530,PostReqres,201,Created,Konfigurasi beban 1-12,text,true,,930,223,16,16,https://reqres.in/api/users,530,0,0
1725176645488,460,DeleteReqres,204,No Content,Konfigurasi beban 1-5,,true,,800,176,16,16,https://reqres.in/api/users/2,0,0,0
1725176645521,427,DeleteReqres,204,No Content,Konfigurasi beban 1-6,,true,,800,176,16,16,https://reqres.in/api/users/2,0,0,0
1725176645517,431,PostReqres,201,Created,Konfigurasi beban 1-14,text,true,,930,223,16,16,https://reqres.in/api/users,431,0,0
1725176645370,578,PostReqres,201,Created,Konfigurasi beban 1-9,text,true,,929,223,16,16,https://reqres.in/api/users,578,0,0
1725176645478,470,PostReqres,201,Created,Konfigurasi beban 1-13,text,true,,930,223,16,16,https://reqres.in/api/users,470,0,0
1725176645675,376,DeleteReqres,204,No Content,Konfigurasi beban 1-8,,true,,796,176,14,14,https://reqres.in/api/users/2,0,0,0
1725176645748,303,GetReqres,200,OK,Konfigurasi beban 1-20,text,true,,1927,159,14,14,https://reqres.in/api/users?page=2,303,0,203
1725176645719,442,PostReqres,201,Created,Konfigurasi beban 1-17,text,true,,926,223,13,13,https://reqres.in/api/users,442,0,0
1725176645719,442,PostReqres,201,Created,Konfigurasi beban 1-16,text,true,,926,223,13,13,https://reqres.in/api/users,442,0,0
1725176645687,474,PostReqres,201,Created,Konfigurasi beban 1-15,text,true,,926,223,13,13,https://reqres.in/api/users,474,0,0
1725176645714,447,DeleteReqres,204,No Content,Konfigurasi beban 1-7,,true,,796,176,13,13,https://reqres.in/api/users/2,0,0,0
1725176645845,514,DeleteReqres,204,No Content,Konfigurasi beban 1-11,,true,,796,176,12,12,https://reqres.in/api/users/2,0,0,0
1725176645949,410,DeleteReqres,204,No Content,Konfigurasi beban 1-14,,true,,796,176,12,12,https://reqres.in/api/users/2,0,0,0
1725176645845,514,DeleteReqres,204,No Content,Konfigurasi beban 1-10,,true,,796,176,12,12,https://reqres.in/api/users/2,0,0,0
1725176645949,410,DeleteReqres,204,No Content,Konfigurasi beban 1-12,,true,,796,176,12,12,https://reqres.in/api/users/2,0,0,0
1725176645730,629,PostReqres,201,Created,Konfigurasi beban 1-18,text,true,,926,223,12,12,https://reqres.in/api/users,629,0,0
1725176645949,410,DeleteReqres,204,No Content,Konfigurasi beban 1-13,,true,,796,176,12,12,https://reqres.in/api/users/2,0,0,0
1725176645845,514,PostReqres,201,Created,Konfigurasi beban 1-19,text,true,,926,223,12,12,https://reqres.in/api/users,514,0,0
1725176646052,411,PostReqres,201,Created,Konfigurasi beban 1-20,text,true,,926,223,7,7,https://reqres.in/api/users,411,0,0
1725176645949,519,DeleteReqres,204,No Content,Konfigurasi beban 1-9,,true,,796,176,7,7,https://reqres.in/api/users/2,0,0,0
1725176646161,406,DeleteReqres,204,No Content,Konfigurasi beban 1-15,,true,,796,176,6,6,https://reqres.in/api/users/2,0,0,0
1725176646161,505,DeleteReqres,204,No Content,Konfigurasi beban 1-17,,true,,796,176,5,5,https://reqres.in/api/users/2,0,0,0
1725176646161,510,DeleteReqres,204,No Content,Konfigurasi beban 1-16,,true,,796,176,4,4,https://reqres.in/api/users/2,0,0,0
